ID,Page,Title,Type,Description,Image URL,Content URL,Timestamp,Genre
1,Main Page,The Morning Show,TV Show,Apple TV+ Original Series,https://is1-ssl.mzstatic.com/image/thumb/N4fzqVkhGqUYPL4Km2uasQ/225x338BDT.TVA23D01.webp,https://tv.apple.com/us/show/the-morning-show/umc.cmc.25tn3v8ku4b39tr6ccgb8nl6m?ctx_proot=tahoma_searchlanding,1.75938E+12,Drama
2,Main Page,Slow Horses,TV Show,Apple TV+ Original Series,https://is1-ssl.mzstatic.com/image/thumb/bArDzA292bd3Xk7rKhn42Q/225x338BDT.TVA23D01.webp,https://tv.apple.com/us/show/slow-horses/umc.cmc.2szz3fdt71tl1ulnbp8utgq5o?ctx_proot=tahoma_searchlanding,1.75938E+12,Drama; Thriller
3,Main Page,All of You,Movie,Apple TV+ Original Film,https://is1-ssl.mzstatic.com/image/thumb/mMEwUE62pZBiFXHTxVCdyQ/225x338BDT.TVA23D01.webp,https://tv.apple.com/us/movie/all-of-you/umc.cmc.3hac5oqhh3gxiu35spyu8fanf?ctx_proot=tahoma_searchlanding,1.75938E+12,Drama
4,Main Page,Invasion,TV Show,Apple TV+ Original Series,https://is1-ssl.mzstatic.com/image/thumb/ccP6rECH8LXO4gbKk9FpSQ/225x338BDT.TVA23D01.webp,https://tv.apple.com/us/show/invasion/umc.cmc.70b7z97fv7azfzn5baqnj88p6?ctx_proot=tahoma_searchlanding,1.75938E+12,Drama; Fantasy; Sci-Fi
5,Main Page,Platonic,TV Show,Apple TV+ Original Series,https://is1-ssl.mzstatic.com/image/thumb/sy3BDqFmJ1iospZk4xB_ow/225x338BDT.TVA23D01.webp,https://tv.apple.com/us/show/platonic/umc.cmc.y7bc18x7co813l8i2tlsyb4l?ctx_proot=tahoma_searchlanding,1.75938E+12,Comedy; Romance
6,Main Page,Highest 2 Lowest,Movie,Apple TV+ Original Film,https://is1-ssl.mzstatic.com/image/thumb/c-jYogNND3BIyuISUXJ8_g/225x338BDT.TVA23D01.webp,https://tv.apple.com/us/movie/highest-2-lowest/umc.cmc.3rbg43tt2brl2cp5wwacfrmhx?ctx_proot=tahoma_searchlanding,1.75938E+12,Crime; Drama; Mystery
7,Main Page,The Reluctant Traveler with Eugene Levy,TV Show,Apple TV+ Original Series,https://is1-ssl.mzstatic.com/image/thumb/ZgAHGC6TI9Iwy0x2VJRWCg/225x338BDT.TVA23D01.webp,https://tv.apple.com/us/show/the-reluctant-traveler-with-eugene-levy/umc.cmc.237ur6qdup9h826huv7jg25yu?ctx_proot=tahoma_searchlanding,1.75938E+12,Unknown
8,Main Page,Ted Lasso,TV Show,Apple TV+ Original Series,https://is1-ssl.mzstatic.com/image/thumb/MEK-8GCPhPdtqifOJ_d8ag/225x338BDT.TVA23D01.webp,https://tv.apple.com/us/show/ted-lasso/umc.cmc.vtoh0mn0xn7t3c643xqonfzy?ctx_proot=tahoma_searchlanding,1.75938E+12,Comedy; Drama; Sport
9,Main Page,Severance,TV Show,Apple TV+ Original Series,https://is1-ssl.mzstatic.com/image/thumb/_705uGqVmFkkNIXfLCXHRw/225x338BDT.TVA23D01.webp,https://tv.apple.com/us/show/severance/umc.cmc.1srk2goyh2q2zdxcx605w8vtx?ctx_proot=tahoma_searchlanding,1.75938E+12,Drama; Mystery; Sci-Fi
10,Main Page,Shrinking,TV Show,Apple TV+ Original Series,https://is1-ssl.mzstatic.com/image/thumb/TEzdangbbeRRj9mKlkjY0Q/225x338BDT.TVA23D01.webp,https://tv.apple.com/us/show/shrinking/umc.cmc.apzybj6eqf6pzccd97kev7bs?ctx_proot=tahoma_searchlanding,1.75938E+12,Comedy; Drama
11,Main Page,Silo,TV Show,Apple TV+ Original Series,https://is1-ssl.mzstatic.com/image/thumb/g6LgKfoFy-tG_RHrp87BOQ/225x338BDT.TVA23D01.webp,https://tv.apple.com/us/show/silo/umc.cmc.3yksgc857px0k0rqe5zd4jice?ctx_proot=tahoma_searchlanding,1.75938E+12,Drama; Mystery; Sci-Fi
12,Main Page,See,TV Show,Apple TV+ Original Series,https://is1-ssl.mzstatic.com/image/thumb/nCdrrzxSei4xS2e7MWZB7g/225x338BDT.TVA23D01.webp,https://tv.apple.com/us/show/see/umc.cmc.3s4mgg2y7h95fks9gnc4pw13m?ctx_proot=tahoma_searchlanding,1.75938E+12,Action; Drama; Sci-Fi
