Title,Description,Category,Content Type,Image URL,Content URL,Genre
Love Island Games,Content from main page,Main Page,TV Series,https://images2.9c9media.com/image_asset/2025_9_11_b00da2d3-5913-47a2-8abc-d39463b79294_jpg_1500x684.jpg,https://www.crave.ca/en/series/love-island-games-54746,Reality-TV
Anne Rice's Interview With the Vampire,Content from main page,Main Page,TV Series,https://images2.9c9media.com/image_asset/2025_9_15_843bb5c5-50c8-4b56-a888-baccbbd4b5e4_png_1500x684.jpg,https://www.crave.ca/en/series/anne-rices-interview-with-the-vampire-57159,Unknown
The Rebuild: Inside the Montreal Canadiens,Content from main page,Main Page,TV Series,https://images2.9c9media.com/image_asset/2025_8_20_0af5203b-1c15-4107-b03d-f42ff35c1e8b_jpg_1500x684.jpg,https://www.crave.ca/en/series/the-rebuild-inside-the-montreal-canadiens-56606,Documentary
Crave Originals,Content from main page,Main Page,TV Series,https://images2.9c9media.com/image_asset/2025_4_25_51ae03c4-f991-4e56-b056-91c09ce6e5d4_png_1373x288.png,No URL,Unknown
And Just Like That...,Content from main page,Main Page,TV Series,https://images2.9c9media.com/image_asset/2025_5_21_bb311b56-d71e-44f6-b743-62134b8efff1_png_2000x3000.jpg,https://www.crave.ca/en/series/and-just-like-that-51417,Comedy; Drama; Romance
HBO Max,Content from main page,Main Page,TV Series,https://images2.9c9media.com/image_asset/2025_4_29_2b678edc-35e8-4c0a-9f2a-c3163e62c29f_png_1123x288.png,No URL,Family
The Gilded Age,Content from main page,Main Page,TV Series,https://images2.9c9media.com/image_asset/2025_5_15_d0d68f2b-8320-4228-8c93-ec9c542bcd4d_png_2000x3000.jpg,https://www.crave.ca/en/series/the-gilded-age-51726,Drama
HBO,Content from main page,Main Page,TV Series,https://images2.9c9media.com/image_asset/2025_5_21_461bc414-7e8a-42fe-a3a8-579f9878fda5_png_895x288.png,No URL,Documentary; Short; Action
Game of Thrones,Content from main page,Main Page,TV Series,https://images2.9c9media.com/image_asset/2024_11_14_b1d0f50c-ceb4-4138-a404-896cf65fec68_png_2000x3000.jpg,https://www.crave.ca/en/series/game-of-thrones-37696,Action; Adventure; Drama
The Hunting Wives,Content from main page,Main Page,TV Series,https://images2.9c9media.com/image_asset/2025_7_18_99988181-e59b-4051-822c-cf55d8f71f17_png_2000x3000.jpg,https://www.crave.ca/en/series/the-hunting-wives-58427,Drama; Mystery; Thriller
Friends,Content from main page,Main Page,TV Series,https://images2.9c9media.com/image_asset/2024_11_14_1b519006-4a39-441b-8841-b6516b8fecbc_png_2000x3000.jpg,https://www.crave.ca/en/series/friends-45431,Comedy; Romance
Love Island USA,Content from main page,Main Page,TV Series,https://images2.9c9media.com/image_asset/2025_5_30_647c09f5-bf4f-4775-9d91-3dc74e02f229_png_2000x3000.jpg,https://www.crave.ca/en/series/love-island-usa-45281,Game-Show; Reality-TV
The Big Bang Theory,Content from main page,Main Page,TV Series,https://images2.9c9media.com/image_asset/2024_11_14_ada22d9a-4dd3-4788-8881-ec85aa508a48_jpg_930x930.jpg,No URL,Comedy; Romance
Reservation Dogs,Content from main page,Main Page,TV Series,https://images2.9c9media.com/image_asset/2024_8_29_44e1a6c3-d8e6-4241-bebb-257567b1c121_png_2000x3000.jpg,https://www.crave.ca/en/series/reservation-dogs-56571,Comedy; Crime
Little Bird,Content from main page,Main Page,TV Series,https://images2.9c9media.com/image_asset/2024_11_14_93165622-dc00-40d0-afa4-aa40a21d2aa9_png_2000x3000.jpg,https://www.crave.ca/en/series/little-bird-54308,Drama
Thunder Bay,Content from main page,Main Page,TV Series,https://images2.9c9media.com/image_asset/2024_11_14_9b3ff254-34d0-4afc-8d90-0da0124b6a6a_png_2000x3000.jpg,https://www.crave.ca/en/series/thunder-bay-53084,Adventure; Drama
Acting Good,Content from main page,Main Page,TV Series,https://images2.9c9media.com/image_asset/2024_10_18_a41a51d7-3b11-4be7-a154-f95df4ccf8c1_png_2000x3000.jpg,https://www.crave.ca/en/series/acting-good-53457,Comedy
Wilfred Buck,Content from main page,Main Page,TV Series,https://images2.9c9media.com/image_asset/2025_3_3_ee3dcade-b4a7-411f-8165-5503245d28e6_png_2000x3000.jpg,https://www.crave.ca/en/special/wilfred-buck-57191,Documentary
Cold Road,Content from main page,Main Page,Movie,https://images2.9c9media.com/image_asset/2025_2_11_89a3afed-bfa2-408e-9b27-53d1ef499a57_png_2000x3000.jpg,https://www.crave.ca/en/movie/cold-road-57298,Thriller
Trailer | 28 Years Later October 3,Content from main page,Main Page,TV Series,https://images2.9c9media.com/image_asset/2025_9_11_d30e1d29-02f3-4917-bef6-76884efe0654_png_2000x1125.jpg,No URL,Unknown
Trailer | I Know What You Did Last Summer (2025) October 17,Content from main page,Main Page,TV Series,https://images2.9c9media.com/image_asset/2025_9_17_fe683b6e-83ee-4451-a2da-1a521fdc1082_png_2000x1125.jpg,No URL,Unknown
Teaser | Love Island Games S2,Content from main page,Main Page,TV Series,https://images2.9c9media.com/image_asset/2025_9_10_5731d22c-fb36-411c-bb4b-34b3a08ec80f_jpg_2000x1125.jpg,No URL,Unknown
Trailer | High Potential S2,Content from main page,Main Page,TV Series,https://images2.9c9media.com/image_asset/2025_9_16_62013467-b2bd-4b5f-ac1f-5ce109bdd4e8_png_2000x1125.jpg,No URL,Unknown
